century	word	freq_normal
17	perfumeth	8.782e-05
17	touch	8.782e-05
17	smeld	8.782e-05
17	vile	8.782e-05
17	smelling	8.782e-05
17	suaveolent	8.782e-05
17	fetida	8.782e-05
17	fuccour	8.782e-05
17	treafure	8.05e-05
17	refufe	8.05e-05
17	infus	8.05e-05
17	membrance	8.05e-05
17	smelle	8.05e-05
17	fevor	8.05e-05
17	doth	8.05e-05
17	loathsom	8.05e-05
17	tafle	8.05e-05
17	fetin	8.05e-05
17	breathing	7.318e-05
17	fpice	7.318e-05
17	ftink	7.318e-05
17	puff	7.318e-05
17	suffumigation	7.318e-05
17	smeller	7.318e-05
17	essence	7.318e-05
17	famish	7.318e-05
17	flegmatick	7.318e-05
17	aqueous	7.318e-05
17	offend	7.318e-05
17	filth	7.318e-05
17	pleasant	7.318e-05
17	odorus	6.587e-05
17	fimell	6.587e-05
17	antidot	6.587e-05
17	medow	6.587e-05
17	nasty	6.587e-05
17	odora	6.587e-05
17	stunck	6.587e-05
17	blush	6.587e-05
17	terrour	6.587e-05
17	licour	6.587e-05
17	lmell	6.587e-05
17	perfumd	5.855e-05
17	fpicy	5.855e-05
17	aromatization	5.855e-05
17	odorif	5.855e-05
17	fouler	5.855e-05
17	effluvi	5.855e-05
17	thefume	5.855e-05
17	powder	5.855e-05
17	vagrant	5.855e-05
17	stinction	5.855e-05
17	balsam	5.855e-05
17	aromatico	5.855e-05
17	astinke	5.855e-05
17	odorat	5.855e-05
17	soporiferous	5.855e-05
17	frondous	5.855e-05
17	frothy	5.855e-05
17	stinkard	5.855e-05
17	contagious	5.855e-05
17	confufion	5.855e-05
17	wholfome	5.855e-05
17	fweete	5.123e-05
17	steam	5.123e-05
17	sauor	5.123e-05
17	efflu	5.123e-05
17	impure	5.123e-05
17	feed	5.123e-05
17	ill	5.123e-05
17	parfum	5.123e-05
17	venomous	5.123e-05
17	oleous	5.123e-05
17	choak	5.123e-05
17	exteriour	5.123e-05
17	sudour	5.123e-05
17	greasy	5.123e-05
17	fragra	5.123e-05
17	vinous	5.123e-05
17	thefmell	5.123e-05
17	fmells	5.123e-05
17	confufed	5.123e-05
17	tallow	4.391e-05
17	whore	4.391e-05
17	gore	4.391e-05
17	sneeze	4.391e-05
17	garlicke	4.391e-05
17	putredinous	4.391e-05
17	aromat	4.391e-05
17	foetor	4.391e-05
17	odou	4.391e-05
17	liquor	4.391e-05
17	flegm	4.391e-05
17	humid	4.391e-05
17	pernicious	4.391e-05
17	smelt	4.391e-05
17	fetulent	4.391e-05
17	ofsmelle	4.391e-05
17	reeke	4.391e-05
17	parfumer	4.391e-05
17	rorid	4.391e-05
17	mellifluous	4.391e-05
17	sordid	4.391e-05
17	nidour	4.391e-05
17	herb	4.391e-05
17	fecte	4.391e-05
17	unsavoury	4.391e-05
17	mud	4.391e-05
17	odoriterous	4.391e-05
17	sulphureous	4.391e-05
17	pestilential	4.391e-05
17	sweetperfume	4.391e-05
17	noisom	4.391e-05
17	fragor	4.391e-05
17	fapour	4.391e-05
17	sapor	4.391e-05
17	ambient	4.391e-05
17	morbifick	4.391e-05
17	perfluous	4.391e-05
17	puffing	4.391e-05
17	fmoke	4.391e-05
17	nofe	4.391e-05
17	vifeous	4.391e-05
17	jmell	3.659e-05
17	feruour	3.659e-05
17	pungency	3.659e-05
17	odoriferus	3.659e-05
17	flagrant	3.659e-05
17	vertue	3.659e-05
17	refreshing	3.659e-05
17	spirituous	3.659e-05
17	olfacto	3.659e-05
17	odout	3.659e-05
17	aromaticum	3.659e-05
17	aromati	3.659e-05
17	fervour	3.659e-05
17	theodour	3.659e-05
17	exhala	3.659e-05
17	turd	3.659e-05
17	grance	3.659e-05
17	leek	3.659e-05
17	fungous	3.659e-05
17	hearb	3.659e-05
17	oily	3.659e-05
17	hum	3.659e-05
17	olfact	3.659e-05
17	perfu	3.659e-05
17	stinct	3.659e-05
17	aer	3.659e-05
17	scour	3.659e-05
17	superstitious	3.659e-05
17	pernitious	3.659e-05
17	ferment	3.659e-05
17	fervor	3.659e-05
17	rous	3.659e-05
17	frag	3.659e-05
17	fetit	3.659e-05
17	arife	3.659e-05
17	fimelle	3.659e-05
17	aromatife	3.659e-05
17	fome	3.659e-05
17	profufe	3.659e-05
17	nervofum	3.659e-05
17	oleofum	3.659e-05
17	pccky	2.927e-05
17	imelle	2.927e-05
17	whifpere	2.927e-05
17	smother	2.927e-05
17	pestilent	2.927e-05
17	perfec	2.927e-05
17	lust	2.927e-05
